cz,Name,Incarceration_Rate_rP_gP_pall
cz35701,Twin Falls,0.0165
cz33801,Elk City,0.0163
cz2900,Hattiesburg,0.0162
cz3800,Lafayette,0.0162
cz10802,Demopolis,0.0162
cz35100,Tucson,0.0162
cz37603,Portola,0.0162
cz5900,Clarksville,0.0161
cz11301,Fredericksburg,0.0161
cz31102,La Grange,0.0161
cz33602,Altus,0.0161
cz2700,Gulfport,0.016
cz12902,Mount Sterling,0.016
cz13700,Concord,0.016
cz14802,Vincennes,0.016
cz35702,Burley,0.016
cz800,Gastonia,0.0159
cz3001,Kosciusko,0.0159
cz5700,Tullahoma,0.0159
cz7200,Cape Coral,0.0159
cz13600,South Bend,0.0159
cz17502,Winchester,0.0159
cz26105,Polk,0.0159
cz28800,Fort Collins,0.0159
cz35201,Grand Junction,0.0159
cz13800,Wayne,0.0158
cz24702,Mexico,0.0158
cz30200,Muskogee,0.0158
cz33601,Lawton,0.0158
cz7400,Orlando,0.0157
cz13102,Madison,0.0157
cz30403,Okmulgee,0.0157
cz14100,Fort Wayne,0.0156
cz19700,Philadelphia,0.0155
cz30602,Alamogordo,0.0155
cz32503,Haskell,0.0155
cz3102,Brookhaven,0.0154
cz10900,Pensacola,0.0154
cz28401,Colorado Springs,0.0154
cz29502,Kansas City,0.0154
cz35300,Farmington,0.0154
cz7500,Deltona,0.0153
cz25105,Batesville,0.0153
cz30904,Pampa,0.0153
cz39000,Yakima,0.0153
cz1900,Jacksonville,0.0152
cz2800,Laurel,0.0152
cz35801,Boise City,0.0152
cz26204,Steele,0.0152
cz5201,New Albany,0.0151
cz6100,Gadsden,0.0151
cz7000,Miami,0.0151
cz13101,Louisville,0.0151
cz26101,Moberly,0.0151
cz30501,Woodward,0.0151
cz14500,Lafayette,0.015
cz24200,Bourbonnais,0.015
cz31202,Burnet,0.015
cz32302,Brady,0.015
cz13900,Center,0.0149
cz17100,Huntington,0.0149
cz19200,Harrisburg,0.0149
cz25300,Union City,0.0149
cz35500,Gallup,0.0149
cz100,Johnson City,0.0148
cz5401,Bowling Green,0.0148
cz15700,Scioto,0.0148
cz24000,Kenosha,0.0148
cz28900,Denver,0.0148
cz31404,Alpine,0.0148
cz31503,Laredo,0.0148
cz32403,Snyder,0.0148
cz34901,Albuquerque,0.0148
cz8300,Greenville,0.0147
cz25401,Paducah,0.0147
cz31403,Fort Stockton,0.0147
cz31900,Pearland,0.0147
cz5800,Dickson,0.0146
cz12903,Danville,0.0146
cz23500,Decatur,0.0146
cz27601,Rapid City,0.0146
cz32502,Childress,0.0146
cz4402,Richmond,0.0145
cz24701,St. Louis,0.0145
cz26102,Marshall,0.0145
cz30604,Deming,0.0145
cz6402,Crossville,0.0144
cz29301,Wichita,0.0144
cz401,Winston-Salem,0.0143
cz1800,Goldsboro,0.0143
cz12701,Cincinnati,0.0143
cz25000,Quincy,0.0143
cz32702,Stephenville,0.0143
cz38401,Lewiston,0.0143
cz6000,Huntsville,0.0142
cz12901,Lexington-Fayette,0.0142
cz4502,Hazard,0.0141
cz602,Galax,0.014
cz13000,Elizabethtown,0.014
cz16802,Summersville,0.014
cz20002,Calais,0.014
cz5100,Corinth,0.0139
cz12702,Maysville,0.0139
cz27702,Cheyenne,0.0139
cz35903,Moab,0.0139
cz38100,Yuma,0.0139
cz14300,Columbus,0.0138
cz35001,Phoenix,0.0138
cz1100,Hickory,0.0137
cz16000,Mansfield,0.0137
cz28301,Sterling,0.0137
cz38700,Longview,0.0137
cz32306,Eagle Pass,0.0136
cz34002,Idabel,0.0136
cz31600,Brownsville,0.0135
cz15200,Cleveland,0.0134
cz24500,Rolla,0.0134
cz29902,Center,0.0134
cz34603,Casper,0.0134
cz37604,Reno,0.0134
cz10600,Jasper,0.0133
cz29403,Bartlesville,0.0133
cz30601,El Paso,0.0133
cz14900,Gary,0.0132
cz17200,Harrisonburg,0.0132
cz29602,Eldon,0.0132
cz302,Knoxville,0.0131
cz34902,Socorro,0.0131
cz4601,Campbellsville,0.013
cz15900,Columbus,0.013
cz25900,Jonesboro,0.013
cz29700,Springfield,0.013
cz29303,Winfield,0.0129
cz29800,Aurora,0.0129
cz31001,Garden City,0.0129
cz31004,Liberal,0.0129
cz35401,Flagstaff,0.0129
cz25602,Harrisburg,0.0128
cz1002,Morganton,0.0127
cz12501,Dayton,0.0127
cz26104,Trenton,0.0127
cz1204,Andrews,0.0126
cz29402,Emporia,0.0126
cz29005,Hutchinson,0.0125
cz37601,Elko,0.0125
cz26408,Glasgow,0.0125
cz28402,Limon,0.0125
cz2100,Washington,0.0124
cz29504,Sedalia,0.0124
cz11304,Washington,0.0123
cz11900,Saginaw,0.0123
cz13103,Bardstown,0.0123
